,sigma_IN
6.44861,0.53895
8.60928,1.66936
10.76994,2.83936
13.24836,4.0869
15.28192,4.27726
17.66501,4.57956
19.82568,4.61444
21.95457,4.34267
24.14701,3.78827
26.21236,3.25488
28.37302,2.73365
30.62901,2.24422
32.78968,1.70779
34.98212,1.28001
37.20634,0.97405
39.30345,0.70824
41.59122,0.47015
43.78366,0.30277
45.94433,0.20098
48.00967,0.13342
50.23388,0.0879
52.36278,0.06489
54.39634,0.05051
56.49346,0.04116
58.84478,0.03405
60.94189,0.0265
63.07079,0.02002
65.10435,0.01455
69.42569,0.00651
73.49282,0.00217
77.68706,4.61E-04
