,A_N
6.5988,0.2594
8.82009,0.33347
11.04138,0.46092
13.23094,0.56659
15.35703,0.68096
17.51485,0.81604
19.79961,0.90319
22.08437,0.94022
24.08353,0.91299
25.00378,0.86506
26.33655,0.80624
28.52611,0.62432
30.90606,0.41081
32.81003,0.16245
35.09478,-0.07176
37.28434,-0.30269
39.50563,-0.52382
41.69519,-0.69703
43.85302,-0.84626
46.04258,-0.91925
48.2004,-0.91925
50.35823,-0.64583
52.42085,-0.32448
54.54695,0.02955
56.70477,0.29317
58.83086,0.46092
60.95696,0.56659
63.17825,0.64066
65.05048,0.66354
69.30266,0.64502
73.42792,0.58837
77.71184,0.17661
